epoch,train_loss,train_acc,val_loss,val_acc,lr,encoder_frozen
1,0.9071471481742022,0.6959560659011482,0.7578117440321616,0.7224163754368448,0.001,True
2,0.7899956453346206,0.7209186220668996,0.7126685269768276,0.745881178232651,0.001,True
3,0.7470973416597781,0.7338991512730904,0.6722599754464769,0.7618572141787319,0.001,True
4,0.7223563490513556,0.7377683474787818,0.7715349381878263,0.7333999001497753,0.001,True
5,0.7067180557879146,0.7382675986020969,0.6583160005568985,0.7663504742885672,0.001,True
6,0.5903170232227939,0.7888167748377434,0.5106112995288439,0.8102845731402896,1e-05,False
7,0.4111445609799878,0.853719420868697,0.45729122986085713,0.8382426360459311,1e-05,False
8,0.2734353434063955,0.9090114827758362,0.4570584457500705,0.8317523714428358,1e-05,False
9,0.1559610617999545,0.9551922116824763,0.4723697554122376,0.8397403894158761,1e-05,False
10,0.08313651694665233,0.9792810783824264,0.5429549347932657,0.8452321517723415,1e-05,False
11,0.051060134499424883,0.9887668497254118,0.5520833585818302,0.8337493759360959,1e-05,False
12,0.039510627539304205,0.9913879181228158,0.5615146143446466,0.8457314028956565,1e-05,False
13,0.03050324486702413,0.9935097353969047,0.6017705733108978,0.8472291562656016,1e-05,False
14,0.02272307528231661,0.9957563654518222,0.599340341920204,0.8452321517723415,1e-05,False
15,0.01897416767361481,0.9960059910134798,0.6353970590631463,0.8467299051422865,1e-05,False
16,0.015826187537915207,0.9966300549176236,0.5845175500123462,0.8512231652521218,1e-05,False
17,0.014697434899000779,0.9970044932601099,0.6567136372217618,0.8427358961557664,1e-05,False
18,0.01614680431784129,0.9955067398901648,0.6175083550232168,0.8392411382925612,1e-05,False
19,0.012440443917428805,0.9977533699450823,0.6409376640983268,0.8492261607588617,1e-05,False
20,0.012910112063470158,0.9967548676984523,0.6756287275031051,0.8467299051422865,1e-05,False
