epoch,train_loss,val_loss,train_iou,val_iou
1,0.2939289694508681,0.216180468751834,0.6437989483730724,0.7206310143837562
2,0.21903623225024113,0.2008770763874054,0.7124311428803664,0.7390132628954373
3,0.2005405966192484,0.18362836207334812,0.7340731375492536,0.7570791400395906
4,0.19074655094972023,0.1829753197156466,0.7459348943371039,0.7568319045580351
5,0.1663616104481312,0.16768541301672274,0.7724873923338377,0.7723078214205228
6,0.1574532904303991,0.1621110778588515,0.7832178505567404,0.7807132867666391
7,0.1480235192924738,0.164275890818009,0.7956627350587111,0.7772961818254911
8,0.15324121666355775,0.13770913493174772,0.7922526082167258,0.8090807942243723
9,0.12337516553413409,0.14043561884990105,0.8211125658108638,0.8073404137904827
10,0.1139976112315288,0.12750914595448054,0.8319324724949323,0.8141595326937162
11,0.10598560200574306,0.12116811086352054,0.8403060408738944,0.8239972738119272
12,0.10230986901487295,0.12657276231508988,0.8452056703659204,0.8172745732160714
13,0.09497231709269377,0.12524387607207665,0.8535891769024042,0.8199663098041828
14,0.08989289371440044,0.12415511459112168,0.8590573329191942,0.8209926330126249
15,0.07901296031016569,0.12226569377459012,0.8708957516230069,0.8184774618882399
16,0.07086824089861833,0.1354409599533448,0.8815232462607897,0.8153047259037312
17,0.06712765740947081,0.12970762390356796,0.8872381354753788,0.8163824429878822
18,0.06488193189008878,0.12829391675499768,0.890251668370687,0.8186114668846131
19,0.0633342263646997,0.130761506408453,0.8930772189910595,0.8175095750735356
20,0.07399697722150729,0.13670109470303243,0.8815717197381533,0.8090586020396306
21,0.07648464838186135,0.137537305859419,0.8775120434852747,0.8111825521175678
22,0.06746230447808137,0.14108535779210238,0.889135449895492,0.8030249769871052
23,0.057396117232453366,0.13037232189224315,0.9024277256085322,0.8222081881303054
24,0.051031997685249034,0.13093131849398978,0.9121084690093995,0.8191384865687443
25,0.04754392344218034,0.12994265424517484,0.9172267684569726,0.8247600812178392
