epoch,train_loss,val_loss,train_iou,val_iou
1,0.29756565366226895,0.18399227273005705,0.6436892899183126,0.7431895164343026
2,0.23275982703153902,0.17513586477591442,0.699045095879298,0.7517329555291395
3,0.20392354976099272,0.15510965161598644,0.730633882031991,0.7756194215554457
4,0.1912530542852787,0.1566131109228501,0.7466858054582889,0.7723843877132123
5,0.17472612098432505,0.15226501604685416,0.7663053219134991,0.7778823504081139
6,0.19187776626875766,0.1307886143716482,0.7533246989433582,0.8085464670107915
7,0.1544805819885089,0.15666787177324296,0.790781069948123,0.7866547997181232
8,0.148615605240831,0.13345393183139653,0.7968541846825526,0.8030504098305336
9,0.13364780602546839,0.12401846544100688,0.8117225011953941,0.8148972868919373
10,0.12732190787792205,0.11578512558570275,0.8174859794286581,0.82497702561892
11,0.1251029631552788,0.12864873649982306,0.8211510158502139,0.8021221142548781
12,0.12630820731417491,0.11014539679655662,0.8189746317955163,0.8293952831855187
13,0.11508700323219483,0.1432438243467074,0.8312488849346454,0.7975195958064153
14,0.11886040536830059,0.11628888111848097,0.827276690189655,0.8220772990813622
15,0.1061097979832154,0.12105467783717008,0.8389927804470062,0.8191300392150879
