image,iou
ISIC_0012169.jpg,0.25464215874671936
ISIC_0012236.jpg,0.935653567314148
ISIC_0012292.jpg,0.8461538553237915
ISIC_0012302.jpg,0.8947368264198303
ISIC_0012337.jpg,0.8368055820465088
ISIC_0012373.jpg,0.9396934509277344
ISIC_0012405.jpg,0.940093994140625
ISIC_0012418.jpg,0.7335796356201172
ISIC_0012456.jpg,0.9392799735069275
ISIC_0012472.jpg,0.448396235704422
ISIC_0012479.jpg,0.9381974339485168
ISIC_0012558.jpg,0.8667920827865601
ISIC_0012559.jpg,0.8642651438713074
ISIC_0012560.jpg,0.8357515931129456
ISIC_0012563.jpg,0.897151529788971
ISIC_0012564.jpg,0.6651737689971924
ISIC_0012566.jpg,0.8401116132736206
ISIC_0012572.jpg,0.8407309055328369
ISIC_0012591.jpg,0.9141688346862793
ISIC_0012592.jpg,0.7599181532859802
ISIC_0012596.jpg,0.8890289664268494
ISIC_0012599.jpg,0.7275571227073669
ISIC_0012603.jpg,0.844646155834198
ISIC_0012606.jpg,0.8677785992622375
ISIC_0012607.jpg,0.7371045351028442
ISIC_0012611.jpg,0.7954173684120178
ISIC_0012624.jpg,0.76456618309021
ISIC_0012625.jpg,0.7551498413085938
ISIC_0012634.jpg,0.7262495160102844
ISIC_0012647.jpg,0.7322688698768616
ISIC_0012650.jpg,0.3785553276538849
ISIC_0012651.jpg,0.8215182423591614
ISIC_0012698.jpg,0.8958032131195068
ISIC_0012925.jpg,0.44671058654785156
ISIC_0012935.jpg,0.892609715461731
ISIC_0012948.jpg,0.5668585896492004
ISIC_0013143.jpg,0.9011873006820679
ISIC_0014676.jpg,0.9427857398986816
ISIC_0014758.jpg,0.9024057984352112
ISIC_0014759.jpg,0.9556393027305603
ISIC_0014887.jpg,0.9329823851585388
ISIC_0014888.jpg,0.9085469841957092
ISIC_0014905.jpg,0.9600917100906372
ISIC_0014906.jpg,0.931877613067627
ISIC_0014953.jpg,0.908943235874176
ISIC_0014967.jpg,0.8770480155944824
ISIC_0014976.jpg,0.9308469295501709
ISIC_0014997.jpg,0.9506744146347046
ISIC_0015001.jpg,0.9670138955116272
ISIC_0015029.jpg,0.9424595236778259
ISIC_0015069.jpg,0.7793885469436646
ISIC_0015074.jpg,0.9637928605079651
ISIC_0015085.jpg,0.9515354037284851
ISIC_0015088.jpg,0.9475508332252502
ISIC_0015092.jpg,0.9653078317642212
ISIC_0015094.jpg,0.9464677572250366
ISIC_0015104.jpg,0.9306291937828064
ISIC_0015117.jpg,0.9627215266227722
ISIC_0015120.jpg,0.8040705323219299
ISIC_0015121.jpg,0.9158931374549866
ISIC_0015137.jpg,0.9086728096008301
ISIC_0015154.jpg,0.8165464401245117
ISIC_0015165.jpg,0.9730198979377747
ISIC_0015169.jpg,0.9013439416885376
ISIC_0015227.jpg,0.9359311461448669
ISIC_0015228.jpg,0.6994848847389221
ISIC_0015257.jpg,0.924923837184906
ISIC_0015261.jpg,0.8893912434577942
ISIC_0015265.jpg,0.8312259316444397
ISIC_0015275.jpg,0.9445421099662781
ISIC_0015281.jpg,0.9831694960594177
ISIC_0015290.jpg,0.9665833115577698
