epoch,train_loss,train_acc,val_loss,val_acc,lr,encoder_frozen
1,1.0286004976955003,0.6694957563654518,0.83115533186448,0.7209186220668996,0.001,True
2,0.9321849715566921,0.681228157763355,0.7426016599767737,0.745381927109336,0.001,True
3,0.9031457791547337,0.6910883674488267,0.7585929885565762,0.7214178731902147,0.001,True
4,0.8884564497454199,0.6920868696954569,0.7671877642472585,0.7139291063404892,0.001,True
5,0.9112143177472188,0.685846230654019,0.7882968777169784,0.7129306040938592,0.001,True
6,0.8946603659741179,0.685846230654019,0.7137779845959611,0.7498751872191712,0.001,True
7,0.8760292448564442,0.6933349975037444,0.7094015946818722,0.7538691962056915,0.001,True
8,0.7467341210075957,0.7244133799301048,0.539004708954414,0.8077883175237144,1e-05,False
9,0.5676007548908512,0.7965551672491263,0.47139604781044736,0.8342486270594108,1e-05,False
10,0.41783377480602074,0.8446080878681977,0.4450858995578961,0.8407388916625063,1e-05,False
11,0.29245410207473116,0.8971542685971043,0.4469596600891756,0.8457314028956565,1e-05,False
12,0.18610037867344187,0.9380928607089366,0.4735761122026902,0.8417373939091363,1e-05,False
13,0.12144224411397131,0.9643035446829755,0.4966694920180349,0.8482276585122317,1e-05,False
14,0.08347919835205266,0.9771592611083375,0.5075239577901869,0.8442336495257114,1e-05,False
15,0.061245510620929436,0.9829006490264603,0.5434086400622157,0.8497254118821768,1e-05,False
16,0.049393484794614674,0.9866450324513231,0.5469061827018213,0.8492261607588617,1e-05,False
17,0.03481539730433404,0.9923864203694458,0.5785438458994562,0.8472291562656016,1e-05,False
18,0.030253901398004573,0.9930104842735896,0.587839921971329,0.8492261607588617,1e-05,False
19,0.025799828984783016,0.9938841737393909,0.5776815891006822,0.8452321517723415,1e-05,False
20,0.026228645211364515,0.9920119820269596,0.6004356860187922,0.854218671992012,1e-05,False
