epoch,train_loss,val_loss,train_iou,val_iou
1,0.2936087694592201,0.22696689057808656,0.6506708418520597,0.6925224327124082
2,0.2239166067340053,0.25842025314386075,0.7110479164582032,0.6927107031528766
3,0.1941847117474446,0.18278628541873052,0.7395873186679986,0.7691666034551767
4,0.18384685734143624,0.17555069751464403,0.7530352456065325,0.7676317948561449
5,0.16298623128006093,0.16907483270535104,0.7762918531894684,0.7795755056234507
6,0.14685981808087,0.14106960743665695,0.7955374353207074,0.8076076672627376
7,0.12040529860040317,0.1290568967278187,0.8239337155452141,0.8200645455947289
8,0.1038095585285471,0.1264300693686192,0.8427512051967474,0.8202519847796513
9,0.09228053766374404,0.12522551990472353,0.8541969413940723,0.8210928155825689
10,0.0833202351601078,0.12605864273814055,0.8648367207783919,0.8237550203616802
11,0.07865754342996158,0.12739911612409813,0.8722577752975317,0.8209933381814223
12,0.07754699855756302,0.12308055254129263,0.8746972349973825,0.8223615628022414
13,0.06922230921112574,0.14313203170895578,0.8849478964622204,0.8099151831406813
14,0.06629762060653704,0.12647751890696013,0.8881855187507776,0.8276192307472229
15,0.059882753184781624,0.13007843460027987,0.8987955625240619,0.8232533619954036
