image,iou
ISIC_0012169.jpg,0.5188589096069336
ISIC_0012236.jpg,0.920634925365448
ISIC_0012292.jpg,0.8410103917121887
ISIC_0012302.jpg,0.9238095283508301
ISIC_0012337.jpg,0.7328891754150391
ISIC_0012373.jpg,0.9417998790740967
ISIC_0012405.jpg,0.9399108290672302
ISIC_0012418.jpg,0.5762165784835815
ISIC_0012456.jpg,0.9339064955711365
ISIC_0012472.jpg,0.40572109818458557
ISIC_0012479.jpg,0.9077869057655334
ISIC_0012558.jpg,0.8061581254005432
ISIC_0012559.jpg,0.8958083987236023
ISIC_0012560.jpg,0.8643457293510437
ISIC_0012563.jpg,0.8897766470909119
ISIC_0012564.jpg,0.8061922192573547
ISIC_0012566.jpg,0.8099887371063232
ISIC_0012572.jpg,0.8300827741622925
ISIC_0012591.jpg,0.8899904489517212
ISIC_0012592.jpg,0.5868471264839172
ISIC_0012596.jpg,0.9194740056991577
ISIC_0012599.jpg,0.7695812582969666
ISIC_0012603.jpg,0.8735094666481018
ISIC_0012606.jpg,0.8451664447784424
ISIC_0012607.jpg,0.6953445076942444
ISIC_0012611.jpg,0.7961558103561401
ISIC_0012624.jpg,0.818457305431366
ISIC_0012625.jpg,0.7201070785522461
ISIC_0012634.jpg,0.8473067879676819
ISIC_0012647.jpg,0.7519542574882507
ISIC_0012650.jpg,0.2610061764717102
ISIC_0012651.jpg,0.8557417988777161
ISIC_0012698.jpg,0.8537930846214294
ISIC_0012925.jpg,0.23254536092281342
ISIC_0012935.jpg,0.9153566956520081
ISIC_0012948.jpg,0.525166928768158
ISIC_0013143.jpg,0.9032257795333862
ISIC_0014676.jpg,0.9183746576309204
ISIC_0014758.jpg,0.8878608345985413
ISIC_0014759.jpg,0.9495491981506348
ISIC_0014887.jpg,0.9305030107498169
ISIC_0014888.jpg,0.8960115909576416
ISIC_0014905.jpg,0.9365291595458984
ISIC_0014906.jpg,0.9181150794029236
ISIC_0014953.jpg,0.9085919857025146
ISIC_0014967.jpg,0.826960027217865
ISIC_0014976.jpg,0.8792294263839722
ISIC_0014997.jpg,0.9376012086868286
ISIC_0015001.jpg,0.9735027551651001
ISIC_0015029.jpg,0.9211501479148865
ISIC_0015069.jpg,0.7590137124061584
ISIC_0015074.jpg,0.9197250008583069
ISIC_0015085.jpg,0.9445251822471619
ISIC_0015088.jpg,0.8794296979904175
ISIC_0015092.jpg,0.9526011347770691
ISIC_0015094.jpg,0.9262439608573914
ISIC_0015104.jpg,0.8976147770881653
ISIC_0015117.jpg,0.9493643641471863
