epoch,train_loss,train_acc,val_loss,val_acc,lr,encoder_frozen
1,1.0242766173121458,0.6708686969545682,0.8136179574898311,0.7229156265601597,0.001,True
2,0.9255947330278789,0.6844732900649027,0.7865372828193127,0.7229156265601597,0.001,True
3,0.9040623558852487,0.691462805791313,0.7453866369194455,0.747378931602596,0.001,True
4,0.9008793482285535,0.6910883674488267,0.7202882987284471,0.7433849226160759,0.001,True
5,0.8842403833975573,0.6973290064902646,0.756926262987748,0.7244133799301048,0.001,True
6,0.8888367756814538,0.6860958562156765,0.7782166131609489,0.7239141288067898,0.001,True
7,0.8991059367647191,0.6865951073389915,0.7597426200610777,0.7299051422865701,0.001,True
8,0.8909043002271366,0.6898402396405392,0.7151448811803546,0.7478781827259111,0.001,True
9,0.9018131009713857,0.6903394907638543,0.7165567798924352,0.745381927109336,0.001,True
10,0.8959758694538337,0.6877184223664503,0.8193632092267747,0.7049425861208187,0.001,True
11,0.8721953075446055,0.7064403394907639,0.6872521633844054,0.7568647029455816,1e-06,False
12,0.794174031940049,0.7221667498751873,0.6476813579746892,0.7743384922616076,1e-06,False
13,0.7490997050931592,0.7309036445332002,0.6162113059046013,0.782326510234648,1e-06,False
14,0.7238384341884277,0.7381427858212681,0.5992321610997712,0.7858212680978532,1e-06,False
15,0.6991458875452449,0.7495007488766849,0.5831097406409089,0.7903145282076884,1e-06,False
16,0.6658638129512707,0.7568647029455816,0.5737898133192507,0.7958062905641538,1e-06,False
17,0.6420761270377926,0.7652271592611083,0.5574512180155291,0.7988017973040439,1e-06,False
18,0.6271498340392065,0.7729655516724913,0.5543620122360096,0.8032950574138792,1e-06,False
19,0.6087478335924491,0.776709935097354,0.5399194821837314,0.8087868197703445,1e-06,False
20,0.5796463989509556,0.7893160259610584,0.5301813090438141,0.8077883175237144,1e-06,False
