epoch,train_loss,train_acc,val_loss,val_acc,lr,encoder_frozen
1,1.0828009805755463,0.6643784323514728,0.9337811484223321,0.6854717923115327,0.001,True
2,1.015110227459681,0.667873190214678,0.9375368722729267,0.6759860209685472,0.001,True
3,1.0060606095605267,0.6668746879680479,0.9003274477426968,0.690963554667998,0.001,True
4,1.011788646499078,0.6689965052421368,0.8757928360312704,0.6954568147778333,0.001,True
5,0.9958189081646012,0.6699950074887668,0.8429136728601796,0.707938092860709,0.001,True
6,1.015499225098216,0.65963554667998,0.8550850671553423,0.6989515726410385,0.001,True
7,0.9997211584074055,0.6671243135297055,0.875347131774539,0.7029455816275587,0.001,True
8,0.8997749909312426,0.6892161757363954,0.7394389611417576,0.7483774338492262,5e-06,False
9,0.8217615287996338,0.7081877184223665,0.6787389425619964,0.7573639540688967,5e-06,False
10,0.766398499171415,0.72690963554668,0.6397660523505201,0.7703444832750874,5e-06,False
11,0.726142393912146,0.7376435346979531,0.6076107748178026,0.7713429855217174,5e-06,False
12,0.7084834127725955,0.7483774338492262,0.5901257940789774,0.7873190214677983,5e-06,False
13,0.6845362652799565,0.7521218172740889,0.5742025386601214,0.7923115327009486,5e-06,False
14,0.651762924746363,0.77209186220669,0.56194738357047,0.8012980529206191,5e-06,False
15,0.6420162351664431,0.7684722915626561,0.5341068276847225,0.8072890664003994,5e-06,False
16,0.6170627425709171,0.7759610584123814,0.5407917278057467,0.8067898152770844,5e-06,False
17,0.6013678391120153,0.7874438342486271,0.5180232217202762,0.8147778332501248,5e-06,False
18,0.5774238094122348,0.7919370943584623,0.5106233548158632,0.8207688467299051,5e-06,False
19,0.5610395371319054,0.7988017973040439,0.5129418641380552,0.81827259111333,5e-06,False
20,0.562485586398257,0.7985521717423865,0.5067291119328093,0.81827259111333,5e-06,False
21,0.5422879870899185,0.8002995506739891,0.493824277675548,0.8207688467299051,5e-06,False
22,0.5367828386569927,0.8091612581128308,0.49016825615664916,0.8257613579630554,5e-06,False
23,0.5248689272565518,0.8139041437843235,0.49195220290003194,0.8257613579630554,5e-06,False
24,0.5195749837778761,0.8117823265102346,0.4798149670666409,0.8287568647029456,5e-06,False
25,0.49540578834192006,0.8246380429355966,0.4829876347637129,0.8292561158262606,5e-06,False
