epoch,train_total_loss,train_sup_loss,train_unsup_loss,train_iou,lambda_u,val_student_loss,val_student_iou,val_teacher_loss,val_teacher_iou
1,0.5133918424208577,0.5133615106057662,0.04501771682407707,0.5077731242188468,0.0006737946999085467,0.3863297801751357,0.675319727567526,0.5631085776365721,0.5358125847119551
2,0.3534400170454039,0.35342427608198845,0.010512739981305249,0.6800419728701504,0.001497476408708202,0.3129240389053638,0.678792533507714,0.3505346912604112,0.7052218707708212
3,0.2715208263566288,0.2714739092983879,0.015110961960789818,0.73951035981568,0.0031047958479329626,0.2787501743206611,0.6779402939172892,0.3493671795496574,0.6457289264752315
4,0.2007791381329298,0.20068657100917056,0.015413933732466271,0.7908431005019408,0.006005466789530795,0.21015964219203362,0.7619244933128357,0.2293710144666525,0.7553930942828838
5,0.1604979662761952,0.1603385905484454,0.014706931923193714,0.8171266827445763,0.010836802322189582,0.1873096052270669,0.7704525094765883,0.18601668729231907,0.7779464749189523
6,0.13797292553891355,0.13766325037711516,0.016975023418266434,0.8352753987105993,0.0182429973053836,0.21596545657286279,0.7439596790533799,0.18842271314217493,0.768283251615671
7,0.12214428813268359,0.12166150838423234,0.016850665565960717,0.8456747090587249,0.028650479686019012,0.16899159802840305,0.779820807163532,0.16442572761040467,0.7880526597683246
8,0.10511647284818956,0.10440397529432979,0.016973641040609576,0.8574263957830576,0.04197669697731042,0.19145982276934845,0.7553879288526681,0.2680206124599163,0.7001640008046077
9,0.10866575684541693,0.10743181405660625,0.021506494913550202,0.849601368778027,0.05737534207374328,0.18742035913925906,0.7575021276107201,0.18266196560401182,0.7689592233070961
10,0.11470289080618666,0.11256014373010167,0.02928787649524076,0.8427313599162377,0.07316156289466418,0.18134539998494661,0.7653439017442557,0.1946734775717442,0.7575792266772343
11,0.08590773562900722,0.08491435523431462,0.011413906154372783,0.8720032069832087,0.08703247258333907,0.17466035313331163,0.7804733276367187,0.16478161433568367,0.7886531545565678
12,0.07662566059913772,0.07550314428786245,0.011621774007765522,0.8830777532779254,0.09658736772410498,0.2027198415536147,0.7546591263550978,0.16550299731584694,0.7930930531941928
13,0.07122690428514034,0.07019487712890483,0.010320270381970868,0.8915132381595098,0.1,0.19189752913438357,0.7724570100124065,0.18913080463042625,0.7713752132195693
14,0.06875423815710327,0.06776162927361348,0.009926092340230333,0.8957722754432604,0.1,0.23403829439328266,0.7331467912747309,0.1950445756316185,0.766332865678347
15,0.059485253564511925,0.05850258821514077,0.00982665164953617,0.9068903791216704,0.1,0.18532572732521937,0.7800402522087098,0.1691869454888197,0.7920534876676706
