epoch,train_total_loss,train_sup_loss,train_unsup_loss,train_iou,lambda_u,val_student_loss,val_student_iou,val_teacher_loss,val_teacher_iou
1,0.4406286174646364,0.44052284511809164,0.05232667098663604,0.540676022020097,0.00202138409972564,0.31729652010477505,0.6247334003448486,0.5135820576777825,0.5552667709497305
2,0.30217232071579647,0.3014720993188138,0.05726070347456978,0.6394494926700225,0.012228661193509863,0.3109623507811473,0.6216292587610391,0.4966348758110633,0.4736673864034506
3,0.2521857439826887,0.24974272210294238,0.04926472348205817,0.6936124986610733,0.049589666466475966,0.24098318219184875,0.7052845331338736,0.4835628816714654,0.5028575778007507
4,0.22600977738889363,0.22144232113630727,0.03388353250137208,0.7218337993209178,0.13479868923516647,0.25331870363308834,0.6987401833901039,0.23226227863476825,0.7170870331617502
5,0.19964177009219733,0.1925261491873803,0.028970130369998515,0.7551048329243293,0.24561922592339458,0.2909918824067483,0.6494546037453871,0.23235680747490664,0.7268900302740243
6,0.18394073184866172,0.17829687853988546,0.018812843713161644,0.7634217901012073,0.3,0.21281970257942492,0.7270904586865352,0.2677067650052217,0.6781824524586018
7,0.17916580375570518,0.17117187606457335,0.0266464246781722,0.7673103117312376,0.3,0.19498756814461488,0.7494828756038959,0.27815135533993063,0.6564545677258418
8,0.1558412096928805,0.1494518446449477,0.0212978820312016,0.796989511555204,0.3,0.27618804493775734,0.6676433769556193,0.3694326563523366,0.5852477761415334
9,0.18186093068036896,0.1723233931697905,0.03179179101985378,0.7677093671204952,0.3,0.22830595878454354,0.7196421018013588,0.22862606793642043,0.7053433450368735
10,0.15001377354089457,0.1449206669886525,0.016977020483374454,0.7914965818994321,0.3,0.17217914897661943,0.7751816987991333,0.18676706288869566,0.7555586714010972
11,0.13319264047850782,0.1287680903915316,0.014748500408201765,0.8074736754195049,0.3,0.18240766926453664,0.7700515343592718,0.19027634125489454,0.753739489041842
12,0.15576101794767266,0.14777756123266256,0.026611521988972806,0.7905433589162735,0.3,0.1978329538152768,0.758712560396928,0.24321682178057158,0.713348794900454
13,0.14099722923352742,0.1323582308474355,0.02879665879915522,0.8084726883814886,0.3,0.18817246877230132,0.7600356129499583,0.1912784721988898,0.762146323460799
14,0.1100949814561038,0.10678466208852254,0.01103439742739563,0.8340536602414571,0.3,0.19053497520776896,0.75683896449896,0.1910754600396523,0.7595539679894081
15,0.11580496678988521,0.11191123480407092,0.012979106338417087,0.8262883841704863,0.3,0.17535939136376746,0.7715563599879925,0.17109409547769105,0.7853961788691007
